id,make_id,model_id,make_name,model_name,generation_years,year_from,year_to,engine_name,engine_ccm,power_kw,fuel_type,transmission,avg_consumption,min_consumption,max_consumption,sample_count,tank_count,low_confidence,source_url,scraped_at,first_seen_at,pct_motorway,pct_city,pct_country,consumption_summer,consumption_winter,fuel_grade_pct_premium,co2_g_per_km,fuel_cost_eur_per_100km,histogram_buckets
1413345,17,1223,Ford,Falcon,1997-1997,1997,1997,Fairmont,,157,petrol,automatic,14.79,14.79,14.79,1,98,True,https://www.spritmonitor.de/en/detail/1413345.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,345.0,14.19,
1642515,17,1223,Ford,Falcon,2015-2015,2015,2015,XR6T Ute,,272,petrol,automatic,12.28,12.28,12.28,1,8,True,https://www.spritmonitor.de/en/detail/1642515.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,286.0,13.7,
352207,17,1223,Ford,Falcon,1998-1998,1998,1998,Falcon,,157,petrol,automatic,10.17,10.17,10.17,1,20,True,https://www.spritmonitor.de/en/detail/352207.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,237.0,7.55,
460832,17,1223,Ford,Falcon,1995-1995,1995,1995,EFII Falcon GLi Classic,,157,petrol,automatic,10.61,10.61,10.61,1,40,True,https://www.spritmonitor.de/en/detail/460832.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,247.0,8.94,
507314,17,1223,Ford,Falcon,1998-1998,1998,1998,Fairmont,,148,petrol,automatic,11.31,11.31,11.31,1,9,True,https://www.spritmonitor.de/en/detail/507314.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,264.0,22.98,
508241,17,1223,Ford,Falcon,2003-2003,2003,2003,Falcon AU Wagon,,157,petrol,automatic,10.29,10.29,10.29,1,11,True,https://www.spritmonitor.de/en/detail/508241.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,240.0,9.41,
548667,17,1223,Ford,Falcon,1998-1998,1998,1998,Station Wagon,,155,petrol,automatic,10.14,10.14,10.14,1,21,True,https://www.spritmonitor.de/en/detail/548667.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,236.0,8.92,
609887,17,1223,Ford,Falcon,1999-1999,1999,1999,Falcon Wagon,,157,petrol,automatic,11.19,11.19,11.19,1,6,True,https://www.spritmonitor.de/en/detail/609887.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,261.0,10.67,
694938,17,1223,Ford,Falcon,2000-2000,2000,2000,XR6,,146,petrol,automatic,8.05,8.05,8.05,1,13,True,https://www.spritmonitor.de/en/detail/694938.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,188.0,7.04,
746426,17,1223,Ford,Falcon,2005-2005,2005,2005,Falcon,,165,petrol,automatic,8.05,8.05,8.05,1,10,True,https://www.spritmonitor.de/en/detail/746426.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,188.0,5.6,
752211,17,1223,Ford,Falcon,1999-1999,1999,1999,Falcon Forte,,157,petrol,automatic,8.9,8.9,8.9,1,17,True,https://www.spritmonitor.de/en/detail/752211.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,207.0,2.36,
778708,17,1223,Ford,Falcon,2003-2003,2003,2003,BA Station Wagon,,182,petrol,automatic,9.72,9.72,9.72,1,22,True,https://www.spritmonitor.de/en/detail/778708.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,226.0,7.51,
841715,17,1223,Ford,Falcon,1997-1997,1997,1997,EL Fairmont 4.0,,155,petrol,automatic,10.87,10.87,10.87,1,36,True,https://www.spritmonitor.de/en/detail/841715.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,253.0,8.59,
860612,17,1223,Ford,Falcon,2006-2006,2006,2006,XT,,157,lpg,automatic,16.78,16.78,16.78,1,67,True,https://www.spritmonitor.de/en/detail/860612.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,275.0,8.58,
972643,17,1223,Ford,Falcon,2005-2005,2005,2005,Wagon XT,,182,petrol,automatic,9.8,9.8,9.8,1,47,True,https://www.spritmonitor.de/en/detail/972643.html,2026-03-23T10:51:35.824821Z,2026-03-23T10:51:35.824821Z,,,,,,,228.0,8.93,
